place,place_address,station_name,station_address,distance
Instalación Deportiva  Básica Embalse de San Juan,CALLE EMBALSE DE SAN JUAN 1,Pavones,Calle Hacienda de Pavones nº 342,5207.96
Instalación Deportiva Básica Alto del Retiro,CALLE ALTO DEL RETIRO 13 c/v calle Antonio Gades,Pavones,Calle Hacienda de Pavones nº 342,5360.87
Instalación Deportiva Básica Avenida de Cerro Milano,AVENIDA CERRO MILANO 1,Pavones,Calle Hacienda de Pavones nº 342,3788.53
Instalación Deportiva Básica Avenida de las Suertes,AVENIDA avenida de las Suertes ,Pavones,Calle Hacienda de Pavones nº 342,3849.47
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,AVENIDA ENSANCHE DE VALLECAS 11,Pavones,Calle Hacienda de Pavones nº 342,3849.47
Instalación Deportiva Básica Avenida del Mediterráneo,INST. DEPORTIVA BASICA LUIS MITJANS ,Valderribas,Calle Doctor Esquerdo nº 191,284.64
Instalación Deportiva Básica Camino de la Suerte,CAMINO SUERTE 25,Pavones,Calle Hacienda de Pavones nº 342,3097.01
Instalación Deportiva Básica Circuito de Automodelismo,CALLE NAVAMURES 2,Pavones,Calle Hacienda de Pavones nº 342,3131.64
Instalación Deportiva Básica Colonia Vilda,CALLE PUENTELARRA 1 c/v Avda. Sta. Eugenia,Pavones,Calle Hacienda de Pavones nº 342,2917.99
Instalación Deportiva Básica Eduardo Chillida,CALLE EDUARDO CHILLIDA 1,Pavones,Calle Hacienda de Pavones nº 342,5901.94
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo),JARDIN JOSE LUIS SAMPEDRO ,Fernando el Católico,Calle Fernando el Católico nº 19,201.29
Instalación Deportiva Básica Jardines del Teniente Alcalde,CALLE Jardines del Teniente Alcalde 49,Canal,Calle José Abascal frente al nº 2,86.55
Instalación Deportiva Básica La Unión,"CALLE ENRIQUE GARCIA ALVAREZ 58 c/v Diego Olivera Victorio, 1",Pavones,Calle Hacienda de Pavones nº 342,2515.86
Instalación Deportiva Básica Nuestra Señora de la Torre,TRAVESIA PUERTO DE REINOSA 2,Pavones,Calle Hacienda de Pavones nº 342,2893.62
Instalación Deportiva Básica P.A.R. Castrillo de Aza,AVENIDA SANTA EUGENIA 1,Pavones,Calle Hacienda de Pavones nº 342,2702.08
Instalación Deportiva Básica Parkour,AVENIDA LA GAVIA 39,Pavones,Calle Hacienda de Pavones nº 342,3811.77
Instalación Deportiva Básica Parque Real de Arganda,CALLE REAL DE ARGANDA 45,Pavones,Calle Hacienda de Pavones nº 342,2848.29
Instalación Deportiva Básica Parque Santa Eugenia,CALLE ZAZUAR 12,Pavones,Calle Hacienda de Pavones nº 342,3063.76
Instalación Deportiva Básica Parque Villa de Vallecas,CALLE PUERTO DE PORZUNA 50,Pavones,Calle Hacienda de Pavones nº 342,3165.25
Instalación Deportiva Básica Parque de Enrique Herreros,CALLE BRAVO MURILLO 49,Canal,Calle José Abascal frente al nº 2,86.55
Instalación Deportiva Básica Parque del Cementerio,CALLE MONTES DE BARBANZA 15,Pavones,Calle Hacienda de Pavones nº 342,2923.54
Instalación Deportiva Básica Parroquia Santa Eugenia,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 15,Pavones,Calle Hacienda de Pavones nº 342,3171.26
Instalación Deportiva Básica Peñaranda de Bracamonte,CALLE PEÑARANDA DE BRACAMONTE 4,Pavones,Calle Hacienda de Pavones nº 342,3791.58
Instalación Deportiva Básica Pista de Patinaje,CALLE PUERTO DE PORZUNA,Pavones,Calle Hacienda de Pavones nº 342,3165.25
Instalación Deportiva Básica Poza de la Sal,CALLE POZA DE LA SAL 2,Pavones,Calle Hacienda de Pavones nº 342,3569.81
Instalación Deportiva Básica Puentelarra,CALLE PUENTELARRA 12,Pavones,Calle Hacienda de Pavones nº 342,2875.95
Instalación Deportiva Básica Puerto Lumbreras,INST. DEPORTIVA BASICA POZA DE LA SAL ,Pavones,Calle Hacienda de Pavones nº 342,3553.18
Instalación Deportiva Básica Rocódromo,AVENIDA LA GAVIA 4 c/v Avenida Cerro Milano,Pavones,Calle Hacienda de Pavones nº 342,3405.17
Instalación Deportiva Básica Santa Eugenia,CALLE CERRO DE ALMODOVAR 11,Pavones,Calle Hacienda de Pavones nº 342,3599.08
Instalación Deportiva Básica Skate Real de Arganda,CALLE REAL DE ARGANDA 49,Pavones,Calle Hacienda de Pavones nº 342,2848.29
Instalación Deportiva Básica Stela Maris,CALLE PEÑARANDA DE BRACAMONTE 4,Pavones,Calle Hacienda de Pavones nº 342,3791.58
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,AVENIDA ABRANTES 297,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3022.08
Instalación Deportiva Municipal Básica Acuario,CALLE MISTRAL 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,5383.89
Instalación Deportiva Municipal Básica Alameda de Osuna I,CALLE BALANDRO 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4894.35
Instalación Deportiva Municipal Básica Alas,CALLE ALAS 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,6276.73
Instalación Deportiva Municipal Básica Albaicín,CALLE ALBAICIN 19 Orcasur,Glorieta de Cádiz,Calle Antonio López nº 129,2316.72
Instalación Deportiva Municipal Básica Albaida,CALLE ALBAIDA S/N Parque de San Blas,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1779.49
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga,CALLE ALCALDE MARTIN DE ALZAGA S/N,Francos Rodríguez,Calle Francos Rodríguez nº 62,975.38
Instalación Deportiva Municipal Básica Alerce,CALLE ALERCE 31 Junto M-40,Glorieta de Cádiz,Calle Antonio López nº 129,2685.98
Instalación Deportiva Municipal Básica Alfonso XIII,"AVENIDA ALFONSO XIII c/v SANTA MARÍA MAGDALENA, 2 136 c/v Santa María Magdalena, 2",Colombia,Calle Colombia nº 7,677.14
Instalación Deportiva Municipal Básica Alhaurín,CALLE ALHAURIN 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,6298.69
Instalación Deportiva Municipal Básica Alicún,CALLE ALICUN 24,Manuel Caldeiro,Paseo de la Castellana nº 298,2026.4
Instalación Deportiva Municipal Básica Aliseda,CALLE ALISEDA c/v Real Betis,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3266.24
Instalación Deportiva Municipal Básica Almudena,CALLE NICOLAS SALMERON 8,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1520.99
Instalación Deportiva Municipal Básica Ambulatorio (El Paraiso),CALLE AJOFRIN s/n,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1374.94
Instalación Deportiva Municipal Básica Americio,CALLE AMERICIO s/n,Embajadores 191,Calle Sodio nº 1B,3727.75
Instalación Deportiva Municipal Básica Ana Tutor,AVENIDA CARDENAL HERRERA ORIA 216,Pedro Rico,Calle Pedro Rico nº 4,1100.11
Instalación Deportiva Municipal Básica Andévalo,CALLE ANDEVALO 6 Aparcamiento,Concordia,Calle Arroyo del Olivar nº 6,2168.75
Instalación Deportiva Municipal Básica Anfevi,CALLE HACIENDA DE PAVONES 127 Posterior,Pavones,Calle Hacienda de Pavones nº 342,576.71
Instalación Deportiva Municipal Básica Aniceto Marinas,CALLE ANICETO MARINAS 106,Paseo de Moret,Paseo de Moret nº 11,774.2
Instalación Deportiva Municipal Básica Antonio Machado,CALLE ANTONIO MACHADO 14 Posterior,Francos Rodríguez,Calle Francos Rodríguez nº 62,1397.8
Instalación Deportiva Municipal Básica Antonio Pirala,CALLE ANTONIO PIRALA s/n,Puente de Ventas,Avenida de Daroca nº 2,73.08
Instalación Deportiva Municipal Básica Arcaute,AVENIDA INVIERNO 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5656.38
Instalación Deportiva Municipal Básica Arcos de Jalón,CALLE ARCOS DE JALON s/n c/v Albericia,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2205.45
Instalación Deportiva Municipal Básica Arequipa,CALLE AREQUIPA 12,Carlota O’Neill,Calle Carlota O'Neill nº 32,2923.1
Instalación Deportiva Municipal Básica Arganda,CALLE ARGANDA 10,Madrid Río-Yeserías,Paseo de Yeserías nº 45,325.22
Instalación Deportiva Municipal Básica Arjona,CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 11,Caramuel,Calle Caramuel nº 51,1984.67
Instalación Deportiva Municipal Básica Arriaga,AVENIDA DAROCA 95,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,533.67
Instalación Deportiva Municipal Básica Arroyo Belincoso,AVENIDA DOCTOR GARCIA TAPIA 76 c/v calle Arroyo Belincoso,Marroquina,Calle Camino de los Vinateros nº 108,573.61
Instalación Deportiva Municipal Básica Arroyo Fontarrón,CALLE ARROYO FONTARRON 381,Pavones,Calle Hacienda de Pavones nº 342,550.32
Instalación Deportiva Municipal Básica Arroyo Media Legua,INST. DEPORTIVA BASICA ARROYO DE LA MEDIA LEGUA ,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,459.5
Instalación Deportiva Municipal Básica Arroyo de Opañel,CALLE ARROYO OPAÑEL 12,San Delfín,Calle San Delfín nº 9,1060.72
Instalación Deportiva Municipal Básica Aster - Lirios,AVENIDA ALFONSO XIII (posterior) 126 Posterior,Colombia,Calle Colombia nº 7,786.36
Instalación Deportiva Municipal Básica Auditorio de Chamartín,PLAZA JOAQUIN RODRIGO 1,María Francisca 1,Calle María Francisca nº 1,191.89
Instalación Deportiva Municipal Básica Auditorio de Moratalaz,CALLE HACIENDA DE PAVONES 209,Pavones,Calle Hacienda de Pavones nº 342,242.32
Instalación Deportiva Municipal Básica Avenida Moratalaz M-30,"CALLE RAMON ARECES 1 frente Avda. Moratalaz, 13",Camino Vinateros,Calle Camino de los Vinateros nº 28,483.35
Instalación Deportiva Municipal Básica Avenida San Luis I,AVENIDA SAN LUIS (frentealnº86),Pío XII,Avenida Pío XII nº 3,2241.16
Instalación Deportiva Municipal Básica Avenida de Brasil,AVENIDA BRASIL 19 c/v C/ General Yagüe,San Germán 5,Calle San Germán nº 5,139.68
Instalación Deportiva Municipal Básica Ayacucho,CALLE NEVADO DEL RUIZ 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,3124.1
Instalación Deportiva Municipal Básica Bacares (Rocódromo),CALLE BACARES 9,Chamartín,Calle Rodríguez Jaén nº 40,1892.58
Instalación Deportiva Municipal Básica Bacares (fútbol),CALLE BACARES 27,Chamartín,Calle Rodríguez Jaén nº 40,1818.86
Instalación Deportiva Municipal Básica Bahía de Santander II,CALLE BAHIA DE SANTANDER 64,Carlota O’Neill,Calle Carlota O'Neill nº 32,5218.13
Instalación Deportiva Municipal Básica Barceló,PLAZA BARCELO S/N,Barceló,Calle Barceló nº 7,88.61
Instalación Deportiva Municipal Básica Barrio El Querol - Spartac de Manoteras,CALLE TIJOLA 1,Manuel Caldeiro,Paseo de la Castellana nº 298,2209.12
Instalación Deportiva Municipal Básica Barrio Goya,CALLE SEPULVEDA 9,Caramuel,Calle Caramuel nº 51,998.34
Instalación Deportiva Municipal Básica Barrio IV,CALLE LUIS DE HOYOS SAINZ 150,Pavones,Calle Hacienda de Pavones nº 342,265.88
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas,CAMINO MONTORO 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,4277.63
Instalación Deportiva Municipal Básica Barrio de Las Cárcavas- Aurora Redondo,CALLE RAFAELA APARICIO 3,Carlota O’Neill,Calle Carlota O'Neill nº 32,4223.35
Instalación Deportiva Municipal Básica Barrio de Santa Ana - Andrés Navarrete,CALLE HOSPITALET DE LLOBREGAT 11,Pedro Rico,Calle Pedro Rico nº 4,1583.71
Instalación Deportiva Municipal Básica Barrio del Aeropuerto,CALLE MEDINA DE POMAR 14,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5351.38
Instalación Deportiva Municipal Básica Baterías - Barrio Alegría,"CALLE JUAN PÉREZ ZÚÑIGA s/n Baterías, 2",Carlota O’Neill,Calle Carlota O'Neill nº 32,269.25
Instalación Deportiva Municipal Básica Belzunegui,CALLE BELZUNEGUI  c/v Berrioplana,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3221.21
Instalación Deportiva Municipal Básica Boston,CALLE BOSTON 1,Camilo José Cela,Avenida de Camilo José Cela nº 23,108.6
Instalación Deportiva Municipal Básica Briviesca,CALLE BRIVIESCA 4,Manuel Caldeiro,Paseo de la Castellana nº 298,1607.72
Instalación Deportiva Municipal Básica Brujas,CALLE BRUJAS 32 esquina C/ Hacienda de Pavones,Pavones,Calle Hacienda de Pavones nº 342,544.9
Instalación Deportiva Municipal Básica Brunete,CALLE BRUNETE 1,Facultad Derecho,Avenida Complutense nº 23,8203.5
Instalación Deportiva Municipal Básica Burgo de Osma,CALLE BURGO DE OSMA 5,Pío XII,Avenida Pío XII nº 3,1562.09
Instalación Deportiva Municipal Básica Burgos,AVENIDA BURGOS 18B ,Chamartín,Calle Rodríguez Jaén nº 40,848.98
Instalación Deportiva Municipal Básica C. F. Nuestra Señora del Buen Camino,GLORIETA RIO ZANCARA 1,Facultad Derecho,Avenida Complutense nº 23,4254.85
Instalación Deportiva Municipal Básica C.P. Aragón,CALLE ANTONIO MAIRENA 23,Pavones,Calle Hacienda de Pavones nº 342,1016.35
Instalación Deportiva Municipal Básica Calanda,CALLE CALANDA 30,Carlota O’Neill,Calle Carlota O'Neill nº 32,2179.53
Instalación Deportiva Municipal Básica Caleruega,CALLE CALERUEGA 52,Manuel Caldeiro,Paseo de la Castellana nº 298,1175.99
Instalación Deportiva Municipal Básica Camino Viejo de Leganés,CALLE CAMINO VIEJO DE LEGANES S/N Carrero Juan Ramón,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2272.48
Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,PASEO ERMITA DEL SANTO S/N Parque de San Isidro,Ermita Santo,Paseo de la Ermita del Santo nº 48,1079.64
Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,AVENIDA DOCTOR GARCIA TAPIA 113,Marroquina,Calle Camino de los Vinateros nº 108,489.88
Instalación Deportiva Municipal Básica Campo de fútbol de la A. D. Orcasitas,AVENIDA RAFAELA YBARRA 119,Glorieta de Cádiz,Calle Antonio López nº 129,2620.17
Instalación Deportiva Municipal Básica Canal de Panamá,CALLE CANAL DE PANAMA S/N,Derechos Humanos,Calle Derechos Humanos nº 12,350.35
Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas,CALLE AGUSTIN DE ITURBIDE 1,Pío XII,Avenida Pío XII nº 3,2571.28
Instalación Deportiva Municipal Básica Carlos II,"CALLE CARLOS II 4 con Austria, 5",Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2833.36
Instalación Deportiva Municipal Básica Carlos Solé,CALLE CARLOS SOLE 19,Sierra Toledana,Camino de Valderribas nº 94,1236.25
Instalación Deportiva Municipal Básica Carmen Amaya,AVENIDA DOCTOR GARCIA TAPIA 28-30,Marroquina,Calle Camino de los Vinateros nº 108,573.61
Instalación Deportiva Municipal Básica Caronte,CALLE CARONTE 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,463.9
Instalación Deportiva Municipal Básica Carril del Conde,"CALLE CARRIL DEL CONDE C/V CALLE DEL PUERTO REAL, 7 ",Condesa de Venadito,Calle Condesa de Venadito nº 2,1696.55
Instalación Deportiva Municipal Básica Carrión de los Condes,PLAZA TEMPLARIOS 4,Chamartín,Calle Rodríguez Jaén nº 40,2081.08
Instalación Deportiva Municipal Básica Casa Campo,PARQUE CASA DE CAMPO s/n Explanada de la Casa de Campo,Puerta del Ángel,Plaza Puerta del Ángel nº 4,841.73
Instalación Deportiva Municipal Básica Casa Campo I Lago,PARQUE CASA DE CAMPO s/n Explanada junto al lago,Puerta del Ángel,Plaza Puerta del Ángel nº 4,567.34
