place,place_address,station_name,station_address,distance
Instalación Deportiva  Básica Embalse de San Juan,CALLE EMBALSE DE SAN JUAN 1,Bicipark Recuerdo,"Calle Hiedra, 26",4910920.04
Instalación Deportiva Básica Alto del Retiro,CALLE ALTO DEL RETIRO 13 c/v calle Antonio Gades,Bicipark Recuerdo,"Calle Hiedra, 26",4911384.41
Instalación Deportiva Básica Avenida de Cerro Milano,AVENIDA CERRO MILANO 1,Bicipark Recuerdo,"Calle Hiedra, 26",4911736.18
Instalación Deportiva Básica Avenida de las Suertes,AVENIDA avenida de las Suertes ,Bicipark Recuerdo,"Calle Hiedra, 26",4911873.92
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,AVENIDA ENSANCHE DE VALLECAS 11,Bicipark Recuerdo,"Calle Hiedra, 26",4911873.92
Instalación Deportiva Básica Avenida del Mediterráneo,INST. DEPORTIVA BASICA LUIS MITJANS ,Bicipark Recuerdo,"Calle Hiedra, 26",4915752.91
Instalación Deportiva Básica Camino de la Suerte,CAMINO SUERTE 25,Bicipark Recuerdo,"Calle Hiedra, 26",4912525.05
Instalación Deportiva Básica Circuito de Automodelismo,CALLE NAVAMURES 2,Bicipark Recuerdo,"Calle Hiedra, 26",4912268.91
Instalación Deportiva Básica Colonia Vilda,CALLE PUENTELARRA 1 c/v Avda. Sta. Eugenia,Bicipark Recuerdo,"Calle Hiedra, 26",4913107.98
Instalación Deportiva Básica Eduardo Chillida,CALLE EDUARDO CHILLIDA 1,Bicipark Recuerdo,"Calle Hiedra, 26",4910862.69
Instalación Deportiva Básica Jardines de José Luis Sampedro (junto al Centro Cultural Galileo),JARDIN JOSE LUIS SAMPEDRO ,Bicipark Recuerdo,"Calle Hiedra, 26",4919676.52
Instalación Deportiva Básica Jardines del Teniente Alcalde,CALLE Jardines del Teniente Alcalde 49,Bicipark Recuerdo,"Calle Hiedra, 26",4920234.52
Instalación Deportiva Básica La Unión,"CALLE ENRIQUE GARCIA ALVAREZ 58 c/v Diego Olivera Victorio, 1",Bicipark Recuerdo,"Calle Hiedra, 26",4913351.69
Instalación Deportiva Básica Nuestra Señora de la Torre,TRAVESIA PUERTO DE REINOSA 2,Bicipark Recuerdo,"Calle Hiedra, 26",4912813.38
Instalación Deportiva Básica P.A.R. Castrillo de Aza,AVENIDA SANTA EUGENIA 1,Bicipark Recuerdo,"Calle Hiedra, 26",4913616.09
Instalación Deportiva Básica Parkour,AVENIDA LA GAVIA 39,Bicipark Recuerdo,"Calle Hiedra, 26",4911862.64
Instalación Deportiva Básica Parque Real de Arganda,CALLE REAL DE ARGANDA 45,Bicipark Recuerdo,"Calle Hiedra, 26",4912915.23
Instalación Deportiva Básica Parque Santa Eugenia,CALLE ZAZUAR 12,Bicipark Recuerdo,"Calle Hiedra, 26",4913066.07
Instalación Deportiva Básica Parque Villa de Vallecas,CALLE PUERTO DE PORZUNA 50,Bicipark Recuerdo,"Calle Hiedra, 26",4912250.77
Instalación Deportiva Básica Parque de Enrique Herreros,CALLE BRAVO MURILLO 49,Bicipark Recuerdo,"Calle Hiedra, 26",4920234.52
Instalación Deportiva Básica Parque del Cementerio,CALLE MONTES DE BARBANZA 15,Bicipark Recuerdo,"Calle Hiedra, 26",4912676.85
Instalación Deportiva Básica Parroquia Santa Eugenia,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 15,Bicipark Recuerdo,"Calle Hiedra, 26",4912928.47
Instalación Deportiva Básica Peñaranda de Bracamonte,CALLE PEÑARANDA DE BRACAMONTE 4,Bicipark Recuerdo,"Calle Hiedra, 26",4912372.07
Instalación Deportiva Básica Pista de Patinaje,CALLE PUERTO DE PORZUNA,Bicipark Recuerdo,"Calle Hiedra, 26",4912250.77
Instalación Deportiva Básica Poza de la Sal,CALLE POZA DE LA SAL 2,Bicipark Recuerdo,"Calle Hiedra, 26",4912782.06
Instalación Deportiva Básica Puentelarra,CALLE PUENTELARRA 12,Bicipark Recuerdo,"Calle Hiedra, 26",4913285.35
Instalación Deportiva Básica Puerto Lumbreras,INST. DEPORTIVA BASICA POZA DE LA SAL ,Bicipark Recuerdo,"Calle Hiedra, 26",4912802.81
Instalación Deportiva Básica Rocódromo,AVENIDA LA GAVIA 4 c/v Avenida Cerro Milano,Bicipark Recuerdo,"Calle Hiedra, 26",4912568.6
Instalación Deportiva Básica Santa Eugenia,CALLE CERRO DE ALMODOVAR 11,Bicipark Recuerdo,"Calle Hiedra, 26",4912873.36
Instalación Deportiva Básica Skate Real de Arganda,CALLE REAL DE ARGANDA 49,Bicipark Recuerdo,"Calle Hiedra, 26",4912915.23
Instalación Deportiva Básica Stela Maris,CALLE PEÑARANDA DE BRACAMONTE 4,Bicipark Recuerdo,"Calle Hiedra, 26",4912372.07
Instalación Deportiva Municipal Básica Abrantes - Colonia Velázquez,AVENIDA ABRANTES 297,Bicipark Recuerdo,"Calle Hiedra, 26",4913325.52
Instalación Deportiva Municipal Básica Acuario,CALLE MISTRAL 1,Bicipark Recuerdo,"Calle Hiedra, 26",4923001.73
Instalación Deportiva Municipal Básica Alameda de Osuna I,CALLE BALANDRO 1,Bicipark Recuerdo,"Calle Hiedra, 26",4920675.5
Instalación Deportiva Municipal Básica Alas,CALLE ALAS 2,Bicipark Recuerdo,"Calle Hiedra, 26",4922934.91
Instalación Deportiva Municipal Básica Albaicín,CALLE ALBAICIN 19 Orcasur,Bicipark Recuerdo,"Calle Hiedra, 26",4912338.93
Instalación Deportiva Municipal Básica Albaida,CALLE ALBAIDA S/N Parque de San Blas,Bicipark Recuerdo,"Calle Hiedra, 26",4918572.7
Instalación Deportiva Municipal Básica Alcalde Martín de Alzaga,CALLE ALCALDE MARTIN DE ALZAGA S/N,Bicipark Recuerdo,"Calle Hiedra, 26",4922939.49
Instalación Deportiva Municipal Básica Alerce,CALLE ALERCE 31 Junto M-40,Bicipark Recuerdo,"Calle Hiedra, 26",4911939.1
Instalación Deportiva Municipal Básica Alfonso XIII,"AVENIDA ALFONSO XIII c/v SANTA MARÍA MAGDALENA, 2 136 c/v Santa María Magdalena, 2",Bicipark Recuerdo,"Calle Hiedra, 26",4922235.59
Instalación Deportiva Municipal Básica Alhaurín,CALLE ALHAURIN 4,Bicipark Recuerdo,"Calle Hiedra, 26",4923103.49
Instalación Deportiva Municipal Básica Alicún,CALLE ALICUN 24,Bicipark Recuerdo,"Calle Hiedra, 26",4924342.11
Instalación Deportiva Municipal Básica Aliseda,CALLE ALISEDA c/v Real Betis,Bicipark Recuerdo,"Calle Hiedra, 26",4913527.66
